Spotify_ID,Artist,Title,Year,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Clustering Coefficient,Community
1CcLA0eaauck34YEIrvAAq,David Guetta,When We Were Young (The Logical Song),2013,0.007467911318553093,0.0,0.007467911318553093,1.0,5
3xY5aYJcdvZX9xQxNd02ku,Charli XCX,In The City,2013,0.0011668611435239208,0.0,0.0011668611435239206,1.0,1336
56xHMIfQPoe0prrSi3BGhf,Olivia Rodrigo,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,2013,0.004200700116686115,0.0,0.004200700116686115,1.0,344
1pJpArmEeSb3x9BETHxXK1,Tropea,Gallipoli,2013,0.00023337222870478414,0.0,0.00023337222870478414,0.0,1016
3gt3BD4A92u4nv6oS5Jkmq,Alexander Stewart,he never will,2013,0.0,0.0,0.0,0.0,1034
5KD6AEm19QnMbfWpfoOHMl,Taylor Swift,Now That We Don't Talk (Taylor's Version) (From The Vault),2013,0.014002333722287048,0.0,0.014002333722287048,1.0,819
2Lss5tezmIkgZA3GFfptI2,Conan Gray,Killing Me,2013,0.0004667444574095683,0.0,0.0004667444574095683,1.0,932
4PHOp05PjsXW27dUyRrHHQ,Golden Years,Verdad (con Joan Thiele & Ele A),2013,0.00023337222870478414,0.0,0.00023337222870478414,0.0,1023
3tNMdL4qjzNHfo7rlVMESK,Måneskin,HONEY (ARE U COMING?),2013,0.0004667444574095683,0.0,0.0004667444574095683,1.0,1037
5o4XJKRxUK6nXhFLAIS33A,Sia,Gimme Love,2013,0.0037339556592765463,0.0,0.0037339556592765463,1.0,25
7hHrs2q5c5rtzHLJ2DKHTT,Zara Larsson,Memory Lane,2013,0.001633605600933489,0.0,0.001633605600933489,1.0,1218
3IspJb3gWk032r0JHIZwLI,Palmaria,Questo Momento,2013,0.0004667444574095683,0.0,0.0004667444574095683,1.0,1020
12BAxMbHzksw2xiq05gKtT,Madison Beer,Sweet Relief,2013,0.0,0.0,0.0,0.0,1042
6usohdchdzW9oML7VC4Uhk,Teddy Swims,Lose Control,2013,0.00023337222870478414,0.0,0.00023337222870478414,0.0,1043
1imbsYvtz61ZvUgGqKCr3j,Natalie Jane,Intrusive Thoughts,2013,0.0,0.0,0.0,0.0,1044
5PyORqpxrfSB7iMbitTBHF,BLUEM,AM,2013,0.0014002333722287048,0.0,0.0014002333722287048,1.0,1057
6eI8B3QW20P68MCYMb4Etd,Matt Hansen,something to remember,2013,0.0004667444574095683,0.0,0.0004667444574095683,1.0,261
