loc,Spotify_ID,Title,Year,Artist,polarity,subjectivity,sentiment
11548,1DIXPcTDzTj8ZMHt3PDt8p,Gangsta's Paradise,2022,Coolio,-0.15508996212121212,0.41666666666666674,"Sentiment(polarity=-0.15508996212121212, subjectivity=0.41666666666666674)"
11055,2hLhiONy3FcndFJc2CiC2e,Squidwards Nose (feat. Kg Prince),2019,Joey Trap,-0.16,0.49166666666666675,"Sentiment(polarity=-0.16, subjectivity=0.49166666666666675)"
7829,7gy8fySaO3pMsC3FLDijVn,Serotonin,2015,JESSIA,-0.16333333333333336,0.3066666666666667,"Sentiment(polarity=-0.16333333333333336, subjectivity=0.3066666666666667)"
3554,4fouWK6XVHhzl78KzQ1UjL,abcdefu,2022,GAYLE,-0.16488095238095235,0.6962301587301587,"Sentiment(polarity=-0.16488095238095235, subjectivity=0.6962301587301587)"
5040,1FpVJ7HpZInE2GvhVE2TwT,Legends Never Die,2022,League of Legends,-0.16666666666666666,0.6,"Sentiment(polarity=-0.16666666666666666, subjectivity=0.6)"
9496,5h1BN75CEh8wdSwE1xrbSe,Slow Dancing,2017,V,-0.16666666666666666,0.36666666666666664,"Sentiment(polarity=-0.16666666666666666, subjectivity=0.36666666666666664)"
9672,4o5Ob60pz8QHcFKcr4MWyf,Ikväll Igen,2017,Bolaget,-0.16666666666666666,0.8333333333333334,"Sentiment(polarity=-0.16666666666666666, subjectivity=0.8333333333333334)"
11268,2beHQY7DvKp9q4vwilKKRS,Change (with Kehlani),2020,Arin Ray,-0.16666666666666666,0.5785714285714286,"Sentiment(polarity=-0.16666666666666666, subjectivity=0.5785714285714286)"
7666,2CPqh63wRVscbceKcPxwvv,The Ocean (feat. Shy Martin),2016,Mike Perry,-0.16666666666666666,0.5233333333333333,"Sentiment(polarity=-0.16666666666666666, subjectivity=0.5233333333333333)"
742,6RtPijgfPKROxEzTHNRiDp,Rude,2015,MAGIC!,-0.1708827404479578,0.5739130434782608,"Sentiment(polarity=-0.1708827404479578, subjectivity=0.5739130434782608)"
8931,1MdbDBwEEecnlLiyWChJFh,You & Me,2017,MEUTE,-0.17500000000000002,0.425,"Sentiment(polarity=-0.17500000000000002, subjectivity=0.425)"
7906,4bbF2JDVUj6VT0BsqI8piy,Bandaid,2015,Tawnted,-0.1791666666666667,0.43750000000000006,"Sentiment(polarity=-0.1791666666666667, subjectivity=0.43750000000000006)"
2217,2sXhf85s42yNvhgT4kgFd3,MELATONIN,2010,Tara Jam,-0.17967032967032973,0.344459706959707,"Sentiment(polarity=-0.17967032967032973, subjectivity=0.344459706959707)"
1016,3tSuRiNgJmMqmYR23dCqnR,I Hate This Part,2010,The Pussycat Dolls,-0.1826530612244898,0.5125850340136053,"Sentiment(polarity=-0.1826530612244898, subjectivity=0.5125850340136053)"
11056,2YVJ1KUr5nP66dmxT8yswB,Hello,2019,1takejay,-0.18341414141414142,0.5833973063973065,"Sentiment(polarity=-0.18341414141414142, subjectivity=0.5833973063973065)"
11314,1tkkNjRgaKPO9OnE3jC6UP,Help Me Out,2020,Kings,-0.18627450980392155,0.6205882352941177,"Sentiment(polarity=-0.18627450980392155, subjectivity=0.6205882352941177)"
10077,5joNJn9LUvYcamWwa2iYCL,Nonstop,2018,OH MY GIRL,-0.1875,0.3125,"Sentiment(polarity=-0.1875, subjectivity=0.3125)"
10068,6c1QaQHdDhtFMfUkhueuXK,Monster,2018,Red Velvet - IRENE & SEULGI,-0.1875,0.5,"Sentiment(polarity=-0.1875, subjectivity=0.5)"
5392,2idmlkd8oUaQvYEtINpLBX,Heads Will Roll - A-Trak Remix,2012,Yeah Yeah Yeahs,-0.18750000000000003,0.3812500000000001,"Sentiment(polarity=-0.18750000000000003, subjectivity=0.3812500000000001)"
7851,6epvwUINain4iSHCTWA0sj,The Village,2015,Wrabel,-0.18768115942028982,0.7246376811594205,"Sentiment(polarity=-0.18768115942028982, subjectivity=0.7246376811594205)"
11111,4GT3R9aMnSspIzuEcWDCpD,CRACKHEAD,2019,iLOVEFRiDAY,-0.18787878787878784,0.4070707070707071,"Sentiment(polarity=-0.18787878787878784, subjectivity=0.4070707070707071)"
10017,4n3aUQnIxtVXpDwFvi66VD,emotions,2020,iann dior,-0.18849206349206357,0.4442063492063493,"Sentiment(polarity=-0.18849206349206357, subjectivity=0.4442063492063493)"
8784,49w5bSIxlJXIvYGF9gNh4B,Molly Slowed,2017,bleed,-0.19259259259259262,0.7135802469135804,"Sentiment(polarity=-0.19259259259259262, subjectivity=0.7135802469135804)"
4304,6PvfzHJY0DgDNnyamiIB90,FRIENDS,2012,NSB,-0.19343234890109892,0.5227535485347986,"Sentiment(polarity=-0.19343234890109892, subjectivity=0.5227535485347986)"
8804,1Adhz5VVDZxhojOLfQQUxa,Not Around,2016,Nova,-0.19571428571428573,0.5540476190476192,"Sentiment(polarity=-0.19571428571428573, subjectivity=0.5540476190476192)"
7655,7EVk9tRb6beJLTHrg6AkY9,Tuesday (feat. Danelle Sandoval),2018,Burak Yeter,-0.19999999999999998,0.43333333333333335,"Sentiment(polarity=-0.19999999999999998, subjectivity=0.43333333333333335)"
11018,5B8FWDSKUT5Ui1CsCfopWh,Bling Bling,2019,Grupo Marca Registrada,-0.2,0.8,"Sentiment(polarity=-0.2, subjectivity=0.8)"
10820,0oPdaY4dXtc3ZsaG17V972,Feliz Navidad,2019,José Feliciano,-0.20000000000000007,0.14999999999999997,"Sentiment(polarity=-0.20000000000000007, subjectivity=0.14999999999999997)"
